zh-TW 台灣原詞,zh-HK 香港中文用詞,Remarks
(?<=[日月])環食,環蝕,
溼度,濕度,溼是正寫，濕是香港常見俗寫
潮溼,潮濕,溼是正寫，濕是香港常見俗寫
自訂(?!閱),自選,
公尺,米,
依照,根據,
依(?![從然靠]),根據,
[暱昵]稱,網名,
線上帳號,網上帳號,
線上工作,網上工作,
線上模式,網上模式,
線上(?=(銀行|搜尋|字典|交易|遊戲|文件|說明|服務)),網上,
摩托車,電單車,
腳踏車,單車,
函式(?!庫),函數,
印表機,打印機,
列印(?=\\(),打印,
(?<=(預覽|取消|正在))列印,打印,
列印(?=(預覽|文件|工作|數量|範圍|設定)),打印,
數位(?=(相機|相片|相簿|簽名|簽署|簽章|化|指紋)),數碼,
網際網路,互聯網,
網路,網絡,
紙牌,啤牌,
黑桃,葵扇,
葫蘆,俘虜,
您,你,
裡,裏,
群,羣,
(?<![所名土顯編原])著(?![作者名述書錄]),着,
方案,計劃,
行動寬頻,流動寬頻,
鎝,鍀,
鎦,鑥,
砈,砹,
鍅,鈁,
錼,鎿,
鈽,鈈,
鋂,鎇,
鉳,錇,
鉲,鐦,
鑀,鎄,
雷射,鐳射,亦可叫「激光」（中、星、馬）
連褲襪,襪褲,
迴紋針,萬字夾,
剪刀石頭布,包剪揼,
鳳梨(?![酥]),菠蘿,
洋芋,馬鈴薯,
冰箱,雪櫃,
電冰箱,雪櫃,
身歷聲,立體聲,
搭配,配搭,
起士,芝士,
